17:26:59:907 [ALWAYS]	GUDE Logging Started
17:26:59:908 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:26:59:908 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:26:59:908 [ERROR]	Initialize resume cache pointer failure
17:26:59:909 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
17:26:59:909 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:27:05:755 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
17:27:05:756 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
17:27:05:756 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
17:27:05:756 [ERROR]	Initialize resume cache pointer failure
17:27:05:756 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
17:27:05:756 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
17:27:05:777 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
