21:21:50:577 [ALWAYS]	GUDE Logging Started
21:21:50:577 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:21:50:577 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:21:50:577 [ERROR]	Initialize resume cache pointer failure
21:21:50:577 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
21:21:50:578 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:21:54:559 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
21:21:54:560 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:21:54:560 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:21:54:560 [ERROR]	Initialize resume cache pointer failure
21:21:54:560 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
21:21:54:560 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:21:54:563 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
